3476,2255,6013,3616,1735,11752,18510,14668,3213,13317,9700,7491,5983,16113,2322,4242,4658,3465,7370,2078,11180,3211,15536,12383,1486,18973,27708,17515,16150,15486,1227,2129,1527,8102,4010,2267,8966,3333,1989,12104,14786,11938,3604,16690,10577,8395,6825,13226,2983,3337,5350,3244,5533,1943,13033,3942,16807,12291,3885,19154,25389,15441,16705,15435,961,3006,1798,8829
2484,1521,5367,2913,1562,10694,15630,9492,2296,9214,6745,6039,4789,9956,2054,3316,3142,2460,4138,2270,8504,2807,12657,8970,1619,14009,21177,11220,11574,9498,839,2491,891,6513,2472,1520,4806,2295,1429,10033,14253,8778,2687,9080,6374,6199,4973,9552,1991,2605,4699,1965,3258,1737,9812,2958,13505,8560,2041,14564,20109,11241,11561,9732,933,2871,1121,6175
2520,1586,4731,2813,1441,8483,12511,9624,2120,9268,6507,6370,3088,10804,1983,2781,3546,2761,3909,2321,9604,2595,11272,8474,1292,13482,16754,11278,10140,9519,807,1994,664,5783,2073,1330,5499,2711,1897,8944,11058,8987,2371,9749,7256,6855,3663,8504,2176,2451,4029,2168,2759,2036,7416,2843,11853,8193,1515,12685,18256,12160,10884,11404,644,2290,1099,5676
2653,1700,5519,3241,1823,11887,18594,12616,3153,14287,6263,8334,3784,12472,2495,3880,4729,3057,5005,2174,10118,3185,13393,12467,2013,16623,21404,14552,10979,12412,957,2278,871,7225,2546,1982,5529,3118,1695,13775,15948,12635,3433,13454,8601,7136,4431,11543,2381,2657,4882,2231,2864,2153,10348,3004,12036,12145,2438,18661,22516,13209,11806,10751,701,2767,1149,7586
2779,2162,6679,3214,2260,11359,20165,9641,2572,14773,8876,10006,5635,17309,3042,5129,4928,3755,5763,2468,12547,3898,16440,9705,3057,20953,20241,13371,14487,10902,1378,2896,1041,8791,3262,1956,7649,3099,1971,10768,13631,15330,2778,16551,9817,7378,5504,12877,3046,3398,6853,2905,4958,2168,10348,3180,15379,12011,2761,17687,24295,16647,16129,13557,883,2483,1792,7761
2755,2328,4009,2489,1726,9851,16247,11013,1662,9812,6021,5943,4030,10967,1650,3697,2937,2071,3696,2152,8906,3375,11933,8009,1735,13563,18950,11729,11363,9408,987,2501,845,7183,2692,1860,5189,2169,1324,10546,15059,10487,2472,12588,6664,4719,3289,11587,1986,2882,3490,1604,2748,1397,9304,2687,11973,8821,2196,12547,22466,10521,14085,9082,769,2852,1076,6223
2294,1738,4110,2383,1563,9482,13130,10087,1903,8522,5388,4931,3368,9563,1989,3066,2927,1699,3940,1706,8293,2962,11822,8535,1615,13728,16971,10383,10630,8928,806,2036,670,5660,2404,1535,5470,1737,1481,9445,10729,8875,2094,9423,6344,4298,3710,9537,2303,3111,3893,1666,2767,1574,8870,2773,12157,7844,2166,13084,17666,9853,10665,8617,453,2330,977,6054
3490,2183,5039,3272,2325,13009,21331,7587,3698,13765,7337,7252,5537,14301,3153,5148,3577,2495,5155,2409,11120,3972,14820,9146,3260,17355,22470,13237,11060,12254,1252,2030,945,7800,3085,2415,6172,2241,2031,13230,16470,10934,3658,12608,8167,6957,5424,13395,2604,3489,4596,2680,4426,1821,11663,3724,13554,10931,3217,18601,22320,15818,13072,13272,703,2831,1168,7504
2357,2135,5815,3268,1647,8743,11839,10327,1999,10880,7844,6002,4511,10698,1836,3720,3743,2300,4556,2500,9321,2040,11332,9151,1725,12545,19601,11539,10681,10846,663,2184,943,5757,2040,1534,6431,3388,1547,8156,12018,11188,2416,12114,7428,7879,4419,7535,2550,3700,4450,2073,3583,2493,8776,2538,11946,8727,2213,14261,19747,12521,10603,8901,588,2145,1100,6017
1762,2483,5840,2195,1797,8354,15214,9009,1736,11763,5993,5158,3991,11591,1973,3561,4057,1976,4212,1641,8607,3121,10606,7636,1513,12292,17661,11383,10326,8988,987,2290,873,6673,3516,1943,6798,2387,2138,9434,11045,8205,2268,11879,6482,5773,3918,9762,2129,2844,4920,1497,3899,1389,9092,2406,10956,8067,2013,12498,20492,11738,11328,10648,509,2554,1192,6524
2178,1638,5007,2428,2158,9165,15634,10491,2120,9910,6329,7605,4879,11114,2148,3266,3347,2400,4112,2066,7247,2279,11304,9421,1142,14753,17829,13071,10032,9210,963,2112,664,5323,2633,1345,5814,2261,1790,10243,12458,9893,2626,9793,6838,6989,3484,9326,2345,2797,3823,2321,3188,1839,8699,2243,11074,9093,1714,14550,19493,11326,11021,11192,711,2573,1171,5933
3064,2082,5474,3244,1416,8772,14899,9319,2460,12856,5795,7703,3953,10786,2154,3647,3430,2797,4307,2757,8649,3170,11801,8968,1585,13858,18058,14345,10706,9644,706,1962,846,6064,3093,1082,6354,3320,1655,10009,11194,8771,2620,11119,6932,7789,3759,10321,2039,3039,5125,1986,3467,2465,8554,2538,12729,8730,1999,14372,20286,16726,11958,11597,561,2010,947,5998
2243,2193,4400,2939,1260,9612,13889,9244,1762,9289,5953,6924,4090,10502,2542,3472,4070,2486,4367,2371,7535,2591,11054,8009,1704,13911,16671,11291,11456,8808,880,2462,766,5778,2505,1169,5401,2719,1346,8645,10541,9781,2018,9777,6824,7864,3475,11296,2346,2860,4476,2381,3022,1959,8017,2597,13546,7444,2373,12221,18918,11972,11591,9146,548,2256,969,5741
2390,2427,5132,2637,2024,10106,13147,10720,2043,10880,5875,5615,4439,11633,2385,3226,3529,2661,4638,1937,7498,2842,11749,8266,2034,12271,16423,11684,11187,9375,723,2240,899,6280,2399,1475,5519,2694,1492,9120,10967,10364,2269,12119,6978,5421,3782,10235,2055,2496,4893,2021,3367,1685,8306,2147,13006,8734,2261,11213,18623,12266,11033,11323,466,2130,1200,5733
2794,3087,9128,3376,2179,10360,19334,10929,3164,13346,8223,6622,5201,12767,2438,5475,5221,2874,5084,3050,9499,4067,14764,12504,2923,17491,26761,17779,13516,10144,1145,2460,927,6866,3520,1602,8021,3080,1715,9419,14270,10582,2900,11514,8232,7222,5811,12321,2872,3804,6467,1970,4769,2631,9906,4028,15102,10601,3084,21757,27006,15309,14573,13090,747,1654,1578,7606
1869,1643,4260,2143,3237,7876,13923,8473,1650,9473,5474,4831,3473,8264,1920,3127,3339,2323,3529,1737,6207,2412,10537,7460,2043,10139,13014,12550,8781,8308,1149,1821,890,5291,2956,841,3991,2223,2882,8357,9645,7777,1847,9698,5884,5210,3815,7204,2354,2910,4217,1818,3030,1534,7909,1907,10728,8066,1841,9522,15698,11614,10433,9247,868,2231,1372,5194
2732,2698,5484,2806,1314,11259,15010,12258,2015,12886,6916,6407,5406,12756,2239,3859,4163,2561,4825,2156,7952,3949,12585,9282,2478,14678,20192,12557,10645,9684,888,1897,995,6242,2687,1509,5399,2960,1385,11044,13810,10836,2603,12712,7709,6730,4953,13479,2427,2889,4714,2731,4224,1920,9380,3539,13275,8698,2469,16178,21970,10777,12380,9317,708,2116,1036,6398
2165,2360,4526,2668,1340,8747,13296,7656,1798,8098,5469,5376,3666,11674,2067,3507,3724,1984,3488,2055,6394,2838,9774,7908,2009,11685,17118,10317,9561,7932,1187,2068,632,5348,2440,1427,5058,1890,1497,8995,10938,9426,2405,7883,5819,5323,4198,9427,1993,2622,4228,1662,3157,1430,8600,2946,11113,7789,1988,11283,17783,9875,9917,10019,742,1889,836,5418
2069,2808,7242,3857,1731,11243,15556,9914,2740,16769,6596,7790,5030,13912,2276,3915,4742,2824,4547,2860,9032,3434,15099,12110,2392,14762,21103,16899,12219,11486,1127,2469,837,6215,3211,1746,9282,3609,2214,13877,15606,12276,2655,12642,7935,8841,5488,13201,2586,3689,5434,2673,2916,2655,9721,2835,16005,11221,2718,17883,25188,15443,12863,10887,781,2714,900,6098
2242,2572,5132,2568,1410,8716,15063,8600,2279,9431,6455,6288,4089,9852,1953,3491,2943,2265,3298,2072,7027,2719,11888,8660,2267,14188,16895,13340,10253,8897,1007,2326,817,6267,2055,1349,4860,2362,1638,7842,13051,11192,2491,10869,7330,6158,3932,10830,2199,3282,3538,2004,2031,2031,8244,2184,12673,8390,2020,13096,20857,12610,10126,9022,990,2393,1340,5747
2272,1971,5475,3374,2142,10943,15601,12083,1755,10107,6323,6434,4982,12482,2727,3916,3651,2170,4764,2144,9606,3811,11154,10304,2535,14996,19539,13098,11992,11293,1079,1966,1423,7387,2560,1882,6099,2466,1833,9519,12149,12240,2599,11292,7309,6650,4728,12717,2671,3467,4949,1965,3533,1909,9751,3735,10885,8884,2523,13247,21905,12116,12470,13666,749,2704,1427,7402
3428,2866,5835,3632,2227,13516,17817,11672,3242,15361,8450,7762,4928,13626,2995,3373,4909,3300,5060,2592,10123,3449,15706,11401,2284,16560,23072,15157,13239,14532,990,2547,1140,7636,3543,1947,7969,3277,2800,11903,15458,12505,2777,13439,9300,7971,4790,12154,3778,4543,6409,2255,4153,2381,10628,3947,15627,10124,3350,18595,25961,14873,13349,13371,847,3154,1465,7083
2055,1671,4986,3205,1229,9911,15416,6704,1983,9894,6106,6686,3901,11241,2057,3848,3861,2302,4207,2160,8147,3122,12283,7212,1379,12161,14788,10901,8964,8016,693,2167,794,5487,2852,2221,6120,2578,1375,10607,11394,7266,2205,9473,6573,6348,3701,10997,2097,2377,3909,1742,3465,1709,8368,2632,11793,7989,2588,11313,16740,10993,9941,9690,657,2210,1047,5661
2596,1867,5091,3181,1624,8971,13903,8197,2085,11508,5823,7378,4642,13458,2526,3023,4230,2796,3192,2496,9726,2720,13543,9743,2144,13804,17971,14454,11277,10777,1030,2705,586,5593,2730,1470,6178,3230,2143,9895,12884,11809,1984,9265,7028,6961,4145,12108,2292,3313,3732,2082,3782,2427,9785,3035,13259,8594,1815,15434,19129,13548,11302,10286,848,2259,1053,5615
